param: CITYI: cost :=
NewYork	840000
LosAngeles	760000
Chicago	610000
Houston	420000
Philadelphia	530000
Phoenix	260000
SanDiego	590000
Dallas	460000
SanAntonio	230000
Detroit	400000
SanJose	650000
Indianapolis	290000
SanFrancisco	590000
Jacksonville	530000
Columbus	440000
Austin	290000
Memphis	450000
Baltimore	410000
Milwaukee	450000
Boston	450000
ElPaso	400000
Nashville	470000
Denver	330000
Seattle	290000
Washington	450000
Charlotte	310000
FortWorth	450000
Portland	430000
LasVegas	400000
Tucson	390000
OklahomaCity	200000
NewOrleans	340000
Cleveland	400000
LongBeach	430000
Albuquerque	370000
KSCity	270000
Fresno	320000
VABeach	260000
Atlanta	400000
Sacramento	210000
Mesa	270000
Oakland	380000
Tulsa	400000
Omaha	380000
Minneapolis	210000
ColoradoSprings	240000
Miami	260000
SaintLouis	210000
Wichita	270000
SantaAna	220000
Arlington	240000
Anaheim	210000
Pittsburgh	220000
Cincinnati	330000
Toledo	290000
Tampa	180000
Buffalo	170000
SaintPaul	210000
Aurora	210000
CorpusChristi	180000
Raleigh	220000
Newark	180000
Lexington-Fayette	190000
Riverside	200000
Louisville	160000
SaintPetersburg	240000
Bakersfield	170000
Stockton	140000
Birmingham	160000
JerseyCity	210000
Norfolk	160000
Hialeah	220000
Greensboro	180000
Glendale1	190000
Plano	140000
BatonRouge	120000
Lincoln	120000
Garland	200000
Rochester	130000
Akron	130000
Scottsdale	110000
Madison	170000
Fremont	180000
Augusta-Richmond	120000
FortWayne	160000
Lubbock	140000
Chesapeake	200000
Montgomery	160000
Richmond	180000
Shreveport	130000
Paradise	190000
Mobile	170000
Spokane	130000
Glendale2	120000
DesMoines	160000
GrandRapids	190000
Irving	190000
Tacoma	180000
Yonkers	120000
Reno	190000
HuntingtonBeach	160000
Columbus2	100000
Arlington2	140000
Modesto	190000
Durham	170000
BoiseCity	130000
Orlando	170000
Winston-Salem	180000
SanBernardino	150000
Henderson	180000
SaltLakeCity	130000
Jackson	140000
Chandler	100000
LittleRock	130000
NewportNews	180000
Laredo	170000
Amarillo	100000
ChulaVista	100000
Knoxville	140000
Providence	90000
Oxnard	100000
Worcester	130000
GardenGrove	90000
SunriseManor	170000
Tempe	140000
Dayton	160000
Oceanside	80000
Ontario	120000
Huntsville	110000
Chattanooga	120000
FortLauderdale	100000
Tallahassee	80000
SantaClarita	150000
Salinas	130000
Springfield1	140000
Pomona	90000
Springfield2	100000
Rockford	130000
SantaRosa	140000
Paterson	130000
Lakewood	80000
OverlandPark	90000
Hampton	130000
Syracuse	80000
KSCity2	120000
Vancouver	110000
Irvine	150000
Metairie	120000
Pasadena	130000
MorenoValley	110000;
param: CITYJ: population :=
NewYork	8103677
LosAngeles	3805387
Chicago	2934854
Houston	2028533
Philadelphia	1522870
Phoenix	1395817
SanDiego	1260010
Dallas	1234150
SanAntonio	1188531
Detroit	960279
SanJose	921724
Indianapolis	804020
SanFrancisco	799977
Jacksonville	761895
Columbus	714871
Austin	681734
Memphis	665829
Baltimore	663740
Milwaukee	605315
Boston	597674
ElPaso	585273
Nashville	583680
Denver	583008
Seattle	578298
Washington	577817
Charlotte	559884
FortWorth	555194
Portland	542334
LasVegas	517995
Tucson	514247
OklahomaCity	513913
NewOrleans	488633
Cleveland	480690
LongBeach	475333
Albuquerque	455452
KSCity	448042
Fresno	440449
VABeach	437232
Atlanta	435548
Sacramento	419198
Mesa	418810
Oakland	411438
Tulsa	399091
Omaha	394285
Minneapolis	392054
ColoradoSprings	379351
Miami	375418
SaintLouis	353313
Wichita	348770
SantaAna	348091
Arlington	345735
Anaheim	337830
Pittsburgh	335736
Cincinnati	332869
Toledo	315118
Tampa	314287
Buffalo	296134
SaintPaul	294233
Aurora	290532
CorpusChristi	288092
Raleigh	285821
Newark	278223
Lexington-Fayette	264715
Riverside	262802
Louisville	260365
SaintPetersburg	257099
Bakersfield	254450
Stockton	251066
Birmingham	245551
JerseyCity	244160
Norfolk	241004
Hialeah	234507
Greensboro	231780
Glendale1	231197
Plano	230543
BatonRouge	229679
Lincoln	228056
Garland	224040
Rochester	222391
Akron	218112
Scottsdale	214178
Madison	210961
Fremont	209500
Augusta-Richmond	208924
FortWayne	208869
Lubbock	207215
Chesapeake	204793
Montgomery	203835
Richmond	203360
Shreveport	201780
Paradise	201456
Mobile	201152
Spokane	200811
Glendale2	200808
DesMoines	200502
GrandRapids	199673
Irving	198961
Tacoma	198683
Yonkers	198422
Reno	195404
HuntingtonBeach	195268
Columbus2	194823
Arlington2	194788
Modesto	194507
Durham	193625
BoiseCity	192696
Orlando	192594
Winston-Salem	192322
SanBernardino	190949
Henderson	189883
SaltLakeCity	188035
Jackson	187326
Chandler	186576
LittleRock	186522
NewportNews	185223
Laredo	183346
Amarillo	180284
ChulaVista	178750
Knoxville	178097
Providence	176510
Oxnard	175456
Worcester	175149
GardenGrove	170139
SunriseManor	169029
Tempe	167603
Dayton	166973
Oceanside	165848
Ontario	162735
Huntsville	159995
Chattanooga	159318
FortLauderdale	157841
Tallahassee	156005
SantaClarita	155609
Salinas	155580
Springfield1	154285
Pomona	153946
Springfield2	153811
Rockford	152128
SantaRosa	152012
Paterson	151773
Lakewood	151499
OverlandPark	151023
Hampton	150561
Syracuse	149061
KSCity2	148780
Vancouver	147363
Irvine	147353
Metairie	147330
Pasadena	147106
MorenoValley	146642;
param  time:
		NewYork	LosAngeles	Chicago	Houston	Philadelphia	Phoenix	SanDiego	Dallas	SanAntonio	Detroit	SanJose	Indianapolis	SanFrancisco	Jacksonville	Columbus	Austin	Memphis	Baltimore	Milwaukee	Boston	ElPaso	Nashville	Denver	Seattle	Washington	Charlotte	FortWorth	Portland	LasVegas	Tucson	OklahomaCity	NewOrleans	Cleveland	LongBeach	Albuquerque	KSCity	Fresno	VABeach	Atlanta	Sacramento	Mesa	Oakland	Tulsa	Omaha	Minneapolis	ColoradoSprings	Miami	SaintLouis	Wichita	SantaAna	Arlington	Anaheim	Pittsburgh	Cincinnati	Toledo	Tampa	Buffalo	SaintPaul	Aurora	CorpusChristi	Raleigh	Newark	Lexington-Fayette	Riverside	Louisville	SaintPetersburg	Bakersfield	Stockton	Birmingham	JerseyCity	Norfolk	Hialeah	Greensboro	Glendale1	Plano	BatonRouge	Lincoln	Garland	Rochester	Akron	Scottsdale	Madison	Fremont	Augusta-Richmond	FortWayne	Lubbock	Chesapeake	Montgomery	Richmond	Shreveport	Paradise	Mobile	Spokane	Glendale2	DesMoines	GrandRapids	Irving	Tacoma	Yonkers	Reno	HuntingtonBeach	Columbus2	Arlington2	Modesto	Durham	BoiseCity	Orlando	Winston-Salem	SanBernardino	Henderson	SaltLakeCity	Jackson	Chandler	LittleRock	NewportNews	Laredo	Amarillo	ChulaVista	Knoxville	Providence	Oxnard	Worcester	GardenGrove	SunriseManor	Tempe	Dayton	Oceanside	Ontario	Huntsville	Chattanooga	FortLauderdale	Tallahassee	SantaClarita	Salinas	Springfield1	Pomona	Springfield2	Rockford	SantaRosa	Paterson	Lakewood	OverlandPark	Hampton	Syracuse	KSCity2	Vancouver	Irvine	Metairie	Pasadena	MorenoValley:=
NewYork	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
