Task=1 Orders=39 Vehicles=333 Scores=1536
1	1	6	56.82
1	1	18	15.72
1	1	27	13.63
1	1	37	36.11
1	1	40	41.41
1	1	51	48.15
1	1	55	41.63
1	1	60	16.18
1	1	63	52.37
1	1	66	21.94
1	1	78	54.73
1	1	93	52.25
1	1	95	32.11
1	1	97	26.86
1	1	100	35.87
1	1	106	36.11
1	1	117	33.82
1	1	127	57.27
1	1	138	47.79
1	1	139	33.18
1	1	141	25.15
1	1	145	14.10
1	1	151	15.28
1	1	158	22.97
1	1	165	39.80
1	1	166	40.87
1	1	173	12.04
1	1	174	36.32
1	1	178	41.73
1	1	181	13.76
1	1	195	11.15
1	1	198	9.04
1	1	206	13.27
1	1	209	18.37
1	1	213	49.66
1	1	218	11.34
1	1	221	42.35
1	1	225	19.10
1	1	230	35.27
1	1	249	40.99
1	1	250	13.97
1	1	257	15.23
1	1	266	20.75
1	1	270	36.62
1	1	275	25.11
1	1	277	16.58
1	1	282	45.11
1	1	283	40.86
1	1	284	14.04
1	1	287	11.77
1	1	297	13.99
1	1	298	30.15
1	1	305	33.56
1	1	308	13.58
1	1	316	15.38
1	1	317	20.68
1	1	324	17.25
1	1,29	6	73.73
1	1,29	18	33.62
1	1,29	93	72.58
1	1,29	95	45.83
1	1,29	97	46.45
1	1,29	127	72.63
1	1,29	158	50.14
1	1,29	195	32.96
1	1,29	198	34.51
1	1,29	206	35.99
1	1,29	213	64.01
1	1,29	225	43.72
1	1,29	250	33.25
1	1,29	266	41.14
1	1,29	270	49.76
1	1,29	275	41.99
1	1,29	277	31.18
1	1,29	297	29.46
1	1,29	298	49.07
1	2	2	35.14
1	2	12	23.59
1	2	50	11.70
1	2	57	36.79
1	2	74	9.90
1	2	92	36.63
1	2	98	39.08
1	2	107	10.83
1	2	126	10.73
1	2	130	14.42
1	2	133	46.21
1	2	136	15.32
1	2	140	50.24
1	2	169	27.11
1	2	170	23.35
1	2	183	18.14
1	2	201	56.59
1	2	202	20.72
1	2	217	17.61
1	2	220	20.04
1	2	237	40.63
1	2	241	36.58
1	2	256	15.66
1	2	260	16.11
1	2	265	14.79
1	2	276	13.96
1	2	278	46.93
1	2	280	26.25
1	2	294	33.77
1	2	307	21.06
1	2	320	23.13
1	2	322	21.69
1	2	325	22.73
1	2	326	14.65
1	2,12	2	41.97
1	2,12	12	30.24
1	2,12	50	19.58
1	2,12	57	42.69
1	2,12	74	15.94
1	2,12	98	45.18
1	2,12	107	17.00
1	2,12	126	17.35
1	2,12	130	22.01
1	2,12	133	51.85
1	2,12	136	21.85
1	2,12	140	55.96
1	2,12	169	34.00
1	2,12	170	29.89
1	2,12	183	24.85
1	2,12	202	26.28
1	2,12	217	24.38
1	2,12	220	26.72
1	2,12	237	46.70
1	2,12	241	43.15
1	2,12	256	22.85
1	2,12	260	22.49
1	2,12	265	23.99
1	2,12	276	22.38
1	2,12	278	53.51
1	2,12	280	32.80
1	2,12	294	40.32
1	2,12	320	29.61
1	2,12	322	28.20
1	2,12	325	29.24
1	2,12	326	23.07
1	3	4	19.03
1	3	8	43.25
1	3	22	20.42
1	3	31	29.51
1	3	32	39.65
1	3	36	35.54
1	3	61	17.37
1	3	64	43.52
1	3	71	21.94
1	3	73	20.46
1	3	86	14.49
1	3	91	28.65
1	3	115	20.93
1	3	116	52.48
1	3	129	22.07
1	3	143	38.37
1	3	149	41.76
1	3	152	20.23
1	3	163	33.32
1	3	167	50.62
1	3	171	48.93
1	3	172	55.79
1	3	184	68.31
1	3	187	24.51
1	3	205	26.68
1	3	207	59.49
1	3	212	40.20
1	3	226	18.62
1	3	228	23.37
1	3	239	19.08
1	3	254	42.55
1	3	255	18.86
1	3	264	18.92
1	3	267	44.70
1	3	281	18.25
1	3	289	39.18
1	3	296	39.23
1	3	299	35.34
1	3	318	18.63
1	3,24	4	30.28
1	3,24	8	56.41
1	3,24	31	40.87
1	3,24	36	47.61
1	3,24	86	25.28
1	3,24	91	42.56
1	3,24	129	35.56
1	3,24	149	55.03
1	3,24	152	34.13
1	3,24	163	46.61
1	3,24	167	65.31
1	3,24	187	38.00
1	3,24	264	30.41
1	3,24	281	30.23
1	3,24	289	53.13
1	4	6	68.90
1	4	20	21.94
1	4	21	23.42
1	4	40	44.48
1	4	63	67.04
1	4	78	71.24
1	4	100	48.55
1	4	114	59.30
1	4	138	61.07
1	4	141	30.07
1	4	165	48.58
1	4	166	59.15
1	4	213	64.08
1	4	282	52.70
1	4	283	51.92
1	4	315	54.04
1	4,6	6	83.76
1	4,6	20	35.21
1	4,6	21	36.65
1	4,6	63	82.79
1	4,6	78	88.21
1	4,6	100	62.17
1	4,6	138	75.87
1	4,6	141	44.00
1	4,6	165	62.73
1	4,6	213	78.65
1	4,6	282	67.17
1	4,6	283	68.86
1	4,6	315	68.62
1	4,13	20	38.39
1	4,13	21	38.86
1	4,13	63	86.82
1	4,13	100	65.10
1	4,13	138	79.52
1	4,13	141	46.75
1	4,13	165	65.30
1	4,13	282	70.79
1	4,13	283	72.11
1	4,13	315	71.62
1	4,20	6	84.56
1	4,20	63	82.39
1	4,20	78	89.04
1	4,20	100	60.07
1	4,20	138	75.66
1	4,20	141	49.45
1	4,20	165	67.49
1	4,20	213	77.48
1	4,20	283	68.15
1	5	10	42.31
1	5	17	51.23
1	5	19	39.51
1	5	23	28.37
1	5	38	44.83
1	5	41	20.25
1	5	48	45.90
1	5	54	41.76
1	5	76	42.96
1	5	88	27.96
1	5	102	66.51
1	5	103	28.87
1	5	120	58.18
1	5	131	54.54
1	5	154	23.15
1	5	161	40.65
1	5	175	19.23
1	5	180	46.89
1	5	192	40.62
1	5	199	43.51
1	5	208	18.99
1	5	211	41.03
1	5	227	40.77
1	5	229	37.46
1	5	240	43.77
1	5	253	23.13
1	5	274	54.01
1	5	291	20.86
1	5	332	20.18
1	5,7	10	55.73
1	5,7	19	55.94
1	5,7	23	44.82
1	5,7	38	62.93
1	5,7	48	61.13
1	5,7	54	56.00
1	5,7	88	42.86
1	5,7	131	69.77
1	5,7	175	32.14
1	5,7	192	59.27
1	5,7	199	59.61
1	5,7	208	30.62
1	5,7	211	58.76
1	5,7	229	54.48
1	5,7	240	57.65
1	5,7	253	45.14
1	5,7	274	66.21
1	5,7	332	37.75
1	5,18	10	55.83
